patent_serial,paper_serial,similarity_score,patent_title,patent_year,paper_title,paper_year
PT199,P1148,0.2377,Sealed Bearing Assembly,2015,Performance of the ferrofluid seal with gas isolation device for sealing liquids,2018
PT199,P687,0.2375,Sealed Bearing Assembly,2015,Supporting capacity of a ferrofluid ring bearing,2021
PT2,P397,0.1763,Ferrofluid sculpting apparatus,2001,Theoretical Development in the Viscosity of Ferrofluid,2023
PT2,P2718,0.157,Ferrofluid sculpting apparatus,2001,Surface tension measurement techniques of magnetic fluids at an interface between different fluids using perpendicular field instability,2005
PT2,P1308,0.1517,Ferrofluid sculpting apparatus,2001,Flow in thermomagnetic energy conversion loops,2017
PT20,P1148,0.1806,FERROFLUID SEAL FOR A SHAFT,1992,Performance of the ferrofluid seal with gas isolation device for sealing liquids,2018
PT20,P955,0.1509,FERROFLUID SEAL FOR A SHAFT,1992,Experimental Validation and Numerical Simulation of Static Pressure in Multi-Stage Ferrofluid Seals,2019
PT20,P3901,0.147,FERROFLUID SEAL FOR A SHAFT,1992,Dynamic loading of a single-stage ferromagnetic liquid seal,1978
PT200,P3471,0.1834,FERROFLUIDIC COOLING AND ACOUTICAL NOISE REDUCTION IN MAGNETIC STIMULATORS,2022,Orientational ordering transition in a continuous-spin ferrofluid,1998
PT200,P3924,0.1406,FERROFLUIDIC COOLING AND ACOUTICAL NOISE REDUCTION IN MAGNETIC STIMULATORS,2022,Pulse magnetization measurements in ferrofluids,1975
