patent_serial,paper_serial,similarity_score,patent_title,patent_year,paper_title,paper_year
PT134,P1423,0.1456,Audio speaker utilizing an unanchored magnet for primary force generation,2011,Recent advances in physics of fluid parametric sloshing and related problems,2015
PT137,P576,0.1829,SYSTEMS AND METHODS FOR ACTIVE PARTICLE SEPARATION,2019,Numerical Simulation Study of Tracking the Displacement Fronts and Enhancing Oil Recovery Based on Ferrofluid Flooding,2021
PT137,P2997,0.1658,SYSTEMS AND METHODS FOR ACTIVE PARTICLE SEPARATION,2019,Structural Transformations in Polydisperse Ferrofluids,2003
PT137,P3193,0.1525,SYSTEMS AND METHODS FOR ACTIVE PARTICLE SEPARATION,2019,Ferroconvection in an anisotropic densely packed porous medium,2002
PT138,P325,0.1713,Method and apparatus for filtering high-frequency electromagnetic beams and irradiation apparatus or device for irradiating an object,2016,On Magnetically Induced Motion of Micropolar Ferrofluids,2023
PT138,P1339,0.1462,Method and apparatus for filtering high-frequency electromagnetic beams and irradiation apparatus or device for irradiating an object,2016,Harvesting energy from the sloshing motion of ferrofluids in an externally excited container: Analytical modeling and experimental validation,2016
PT138,P1601,0.1427,Method and apparatus for filtering high-frequency electromagnetic beams and irradiation apparatus or device for irradiating an object,2016,Concurrent vibration suppression and energy harvesting using ferrofluids: An experimental investigation,2014
PT14,P625,0.2409,Ferrofluid,1983,Free ions in kerosene-based ferrofluid detected by impedance spectroscopy,2021
PT14,P2679,0.1895,Ferrofluid,1983,"Dual ferrohydrodynamic and electrohydrodynamic flow instabilities and patterns in uniform DC, AC and rotating fields",2005
PT14,P743,0.1768,Ferrofluid,1983,Electric response of cells of ferrofluids to ac external electric field: dependence on the concentration of magnetic particles and on the electrodes,2020
PT140,P447,0.1785,MAGNETIC FLUID SHUTTER OPERATION,2016,A Method and Apparatus for Measuring the Magnetization Relaxation Times of Ferrofluids,2022
PT140,P3421,0.1127,MAGNETIC FLUID SHUTTER OPERATION,2016,Numerical estimate of ultrasound propagation parameters in ferrofluids with viscous aggregates,1996
PT140,P3754,0.1103,MAGNETIC FLUID SHUTTER OPERATION,2016,MAGNETIC FILTRATION OF FERROFLUIDS.,1986
PT141,P249,0.1465,Systems and methods for treating a thrombus in a blood vessel,2006,Simultaneous Effects of a Vortex Generator and Magnetic Field on Ferrofluid Convective Heat Transfer in a 3D Channel: First and Second Law Analyses,2024
PT141,P3971,0.1134,Systems and methods for treating a thrombus in a blood vessel,2006,Laser Treatment of Basal Cell Epithelioma Injected With Magnetic Iron Particles,1974
PT141,P2666,0.0985,Systems and methods for treating a thrombus in a blood vessel,2006,A high field gradient magnet for magnetic drug targeting,2006
PT142,P561,0.1748,FERROFLUIDIC COOLING AND ACOUSTICAL NOISE REDUCTION IN MAGNETIC STIMULATORS,2008,Optimal ferrofluids for magnetic cooling devices,2021
PT142,P447,0.1559,FERROFLUIDIC COOLING AND ACOUSTICAL NOISE REDUCTION IN MAGNETIC STIMULATORS,2008,A Method and Apparatus for Measuring the Magnetization Relaxation Times of Ferrofluids,2022
PT142,P3471,0.153,FERROFLUIDIC COOLING AND ACOUSTICAL NOISE REDUCTION IN MAGNETIC STIMULATORS,2008,Orientational ordering transition in a continuous-spin ferrofluid,1998
PT143,P2255,0.1656,Systems and methods for removing plaque from a blood vessel,2006,Process modeling of ferrofluids flow for magnetic targeting drug delivery,2009
PT143,P249,0.1324,Systems and methods for removing plaque from a blood vessel,2006,Simultaneous Effects of a Vortex Generator and Magnetic Field on Ferrofluid Convective Heat Transfer in a 3D Channel: First and Second Law Analyses,2024
PT143,P2322,0.1135,Systems and methods for removing plaque from a blood vessel,2006,Hydrodynamic modelling and CFD simulation of ferrofluids flow in magnetic targeting drug delivery,2008
PT146,P1569,0.2121,AN APPARATUS FOR TRANSFERRING HEAT FROM A HEAT SOURCE TO A HEAT SINK,2019,Effect of the magnetic field direction on forced convection heat transfer enhancements in ferrofluids,2015
